host_id,title,room_type,description,address,lat,lng,header_count_max,daily_price,rating_star_score,review_count
167,이김 호텔,펜션,"Cupiditate iure magni numquam asperiores neque. Commodi beatae eaque quisquam.
Laudantium impedit itaque vitae numquam repudiandae ad facere. Optio nulla provident voluptatum corrupti laboriosam.",세종특별자치시 용산구 논현가,34.8825,128.62667,4,30000,1.08,147
166,주식회사 최한김 호텔,호텔,Tempore exercitationem iste pariatur ad earum. Vero nam ipsum quod modi doloremque commodi. Ullam animi dicta ipsam at.,경상남도 수원시 권선구 언주35길,36.6009,126.665,4,30000,1.4,218
132,(주) 최심허 펜션,모텔,Consequuntur minima officia perspiciatis quis commodi tenetur. Distinctio totam earum.,전라남도 성남시 중원구 서초중앙길,36.20389,127.08472,4,30000,4.22,430
124,(주) 김 호텔,호텔,Temporibus aspernatur laudantium aliquam officia. Culpa fugit quibusdam magni ipsam. Vero accusantium dolor.,전라남도 원주시 오금2가,36.82167,128.63083,4,30000,3.58,205
87,(유) 장 모텔,아파트,"Fuga temporibus neque sit cupiditate. Provident vitae repudiandae laudantium pariatur adipisci consectetur.
Enim nemo tempora. Laudantium saepe molestias velit nobis.",부산광역시 성북구 반포대044길 (예은서진마을),37.1759,128.9889,4,30000,4.11,295
20,(주) 김 펜션,호텔,Eveniet iure nesciunt. Cupiditate dignissimos magni fuga aperiam veniam facere.,서울특별시 강북구 서초중앙길 (춘자김김리),36.20389,127.08472,4,30000,1.7,207
28,(주) 김박김 호텔,모텔,"Atque iste et debitis eaque aspernatur nam. Amet dolore ab. Nam dolore fugiat ea.
Quisquam accusantium tempora fugit eum odio.
Nesciunt veniam illo dolore. Sequi quam minima.",제주특별자치도 고양시 일산서구 선릉거리 (영미권면),34.8825,128.62667,4,30000,3.81,110
77,김이 모텔,아파트,Officiis aspernatur quo eum quos minima. Aliquam autem rerum sapiente fugiat. Ipsa facilis praesentium voluptas qui.,전라남도 홍성군 백제고분8거리,36.20389,127.08472,4,30000,1.49,208
99,박박 호텔,펜션,Earum laborum amet fugit. Voluptas magni occaecati ipsa ab neque. Pariatur sunt ab. Voluptas officia pariatur ea.,제주특별자치도 용인시 봉은사0거리,36.6009,126.665,4,30000,3.97,455
187,주식회사 김 모텔,모텔,Consequuntur quas deserunt. Vitae sed cum iste facilis amet. Similique eaque eveniet officia eligendi ullam voluptatibus impedit.,경상북도 홍천군 학동로,36.20389,127.08472,4,30000,2.69,401
72,김이최 아파트,펜션,Alias officia sapiente tempore ducimus hic. Repellat possimus quisquam sed modi cumque.,부산광역시 서초구 백제고분142거리 (영환강김면),37.1759,128.9889,4,30000,1.74,333
127,주식회사 윤 모텔,호텔,Amet enim minus quibusdam. Illo temporibus repudiandae voluptates iste sunt. Esse natus ab. Rerum nostrum alias.,경기도 평창군 삼성22길 (서윤박읍),36.20389,127.08472,4,30000,2.53,392
89,강이 아파트,모텔,Id ab dolorem esse nam beatae minus. Enim rerum rerum dolorum. Corrupti assumenda vel sint magnam architecto.,대구광역시 강북구 석촌호수로 (영환하면),36.20389,127.08472,4,30000,4.05,95
4,주식회사 고김하 호텔,펜션,Deserunt culpa quidem quasi non tenetur error. Commodi quaerat sunt quidem et suscipit.,인천광역시 강동구 가락5로,36.82167,128.63083,4,30000,1.26,266
141,이이박 모텔,아파트,"Voluptate vel sunt illo corrupti. Rerum velit iste maiores autem.
Illo hic reprehenderit excepturi temporibus. Ullam ipsam a facere odit.",충청남도 고양시 양재천길 (수진황리),34.8825,128.62667,4,30000,1.37,138
153,유한회사 최 모텔,아파트,"Voluptatum culpa repellendus repellendus ipsa. Harum quo totam neque labore tempore.
Mollitia eveniet non. Non nam incidunt sed atque.
Quae suscipit officia. Assumenda esse maxime occaecati.",울산광역시 도봉구 잠실262길 (숙자김동),37.65639,126.835,4,30000,1.71,206
143,진이오 펜션,아파트,Cum excepturi nemo autem consectetur fugit. Blanditiis at laborum culpa sint illo. Explicabo pariatur laboriosam in quam sit.,전라남도 파주시 양재천0로 (유진이김읍),37.1759,128.9889,4,30000,3.63,38
30,안박 아파트,펜션,"Animi necessitatibus ex voluptatem. Consequuntur eos labore repellendus.
Laborum provident in dolores.",충청북도 시흥시 역삼1거리,36.6009,126.665,4,30000,3.1,421
24,(주) 류 아파트,펜션,Blanditiis autem repudiandae iure natus deserunt. Quidem fugiat eligendi illo blanditiis esse tenetur.,제주특별자치도 부천시 원미구 양재천거리 (예지윤면),37.1759,128.9889,4,30000,3.95,153
129,유한회사 황 펜션,아파트,"Consequuntur sed mollitia perspiciatis error. Voluptatibus nam asperiores.
Esse voluptatibus explicabo pariatur quasi iusto. Magni praesentium possimus ipsum.",경기도 논산시 서초대길,37.1759,128.9889,4,30000,3.91,385
111,김장김 펜션,모텔,"Suscipit rerum atque.
Delectus debitis nemo a. Laudantium modi aspernatur nostrum iure temporibus. Est molestias pariatur aliquam.
Beatae aliquid doloremque quaerat nisi.
Unde suscipit odio nobis.",광주광역시 동구 반포대79길,34.8825,128.62667,4,30000,3.49,172
148,강김강 펜션,펜션,"Illo blanditiis at molestiae atque sapiente labore. Illum laborum officia optio omnis maxime.
Temporibus quam blanditiis id. Enim error aliquid repellat quia eos.",울산광역시 양천구 언주길 (준서박면),36.6009,126.665,4,30000,3.76,168
4,박구황 아파트,모텔,"Vel aliquid provident eos nam ipsa reprehenderit voluptatem. Fugit repellat quidem sint.
Nisi officia inventore quibusdam voluptate debitis delectus est. Quas et quia.",부산광역시 동작구 반포대가 (예진김조읍),36.20389,127.08472,4,30000,4.46,474
161,서김 호텔,펜션,Atque delectus nemo porro ducimus. Quia quaerat cum repudiandae doloremque fugiat soluta. Necessitatibus perferendis eius eveniet aut soluta repudiandae.,충청북도 수원시 영통구 논현거리 (상호구읍),37.65639,126.835,4,30000,4.6,311
41,(주) 구박김 호텔,모텔,"Incidunt dolor et deserunt maxime repellat illo fuga. Nemo accusantium nesciunt.
Aut ab nisi. Debitis magni rerum dolorum.
Ipsam optio non. Optio provident quisquam eaque. Nam iure perferendis illum.",경상남도 충주시 오금거리 (상철이리),37.1759,128.9889,4,30000,4.59,145
24,주식회사 조 모텔,호텔,Mollitia incidunt quia odio doloribus quaerat. Vitae officia placeat qui aperiam beatae id. Aliquam similique distinctio voluptas assumenda rerum.,경상남도 안산시 단원구 강남대0길,36.20389,127.08472,4,30000,1.32,209
62,(유) 이김황 아파트,호텔,"Dolorum nostrum sunt molestias repellendus dolor. Beatae neque aspernatur.
Veritatis quaerat praesentium eos. Facilis totam voluptatum non.",경상남도 성남시 분당구 반포대거리 (민서서류동),36.20389,127.08472,4,30000,1.25,62
65,하권 호텔,호텔,Consectetur beatae harum soluta voluptatum. Quo praesentium nostrum dicta ratione ipsa. Illum at id quisquam illum similique.,경상남도 청주시 상당구 테헤란로 (영철유동),36.82167,128.63083,4,30000,2.06,346
1,유한회사 김곽오 펜션,펜션,Corporis reprehenderit eaque eaque id quam ex molestiae. Culpa perspiciatis nihil. Vitae blanditiis corporis ducimus nostrum aliquam. Explicabo esse perspiciatis recusandae perspiciatis.,전라북도 횡성군 잠실5가 (도윤이박리),36.20389,127.08472,4,30000,4.99,352
27,남양이 호텔,아파트,Sequi deserunt voluptatem inventore recusandae facere doloremque. Laborum quam cupiditate labore. Ipsum sunt quos distinctio.,광주광역시 강동구 압구정710가,34.8825,128.62667,4,30000,3.63,371
160,류이 호텔,펜션,Dicta ut unde at nobis ea. Voluptates cupiditate est reiciendis voluptatum qui. Nemo voluptatibus eius exercitationem suscipit iusto velit.,부산광역시 성동구 봉은사거리 (지은김마을),36.82167,128.63083,4,30000,4.1,277
88,(유) 류 펜션,모텔,"Sint quam assumenda iusto laudantium deserunt. Aperiam sit quia commodi aut dolorem.
Laudantium earum tempora esse quos enim quibusdam eius.",울산광역시 강동구 논현09로 (도윤이리),37.1759,128.9889,4,30000,2.98,306
146,(주) 장 아파트,아파트,Et ipsam ut nisi odio repudiandae molestiae. Optio ad porro laudantium dolor mollitia alias laborum. Dicta ratione harum veritatis deserunt.,강원도 용인시 처인구 언주가,36.6009,126.665,4,30000,2.28,498
10,(주) 김 펜션,아파트,Dolores corporis reprehenderit quibusdam ex. Commodi soluta cupiditate quae explicabo. Eius magni quam eum ratione eligendi fugit.,세종특별자치시 강북구 개포길 (은정오동),36.82167,128.63083,4,30000,4.47,355
109,주식회사 김 모텔,호텔,"Quidem sapiente dolorem a quae. Ad eius odio sint. Veniam vero sit consequatur corrupti.
Rerum tempore totam magnam. Magnam sed accusamus. Iusto magnam fuga laudantium.",세종특별자치시 동작구 잠실2가 (하윤송마을),37.1759,128.9889,4,30000,1.71,93
122,황이오 모텔,아파트,Molestias maxime perferendis quae. Quis molestiae ratione molestiae porro. Natus iusto error non quam ipsa eaque.,인천광역시 노원구 잠실가,34.8825,128.62667,4,30000,1.0,35
169,임황 호텔,모텔,"Iusto facilis occaecati. Perferendis iusto quos ab impedit officia modi.
Eos placeat harum. Quasi facere nulla error odit.",전라북도 계룡시 반포대0길 (상호홍리),36.82167,128.63083,4,30000,2.09,293
140,강차강 모텔,호텔,"Occaecati exercitationem sunt voluptas odit reprehenderit iure. Ab sequi distinctio ex eos eum reprehenderit.
Eligendi odit illum odio officia itaque provident. At eum at est dicta ex minima.",부산광역시 북구 잠실379가,36.82167,128.63083,4,30000,1.49,419
12,유한회사 고권김 아파트,펜션,Ipsam recusandae fuga mollitia molestias. Veniam dolore neque. Et vel nisi tempore optio.,제주특별자치도 청주시 상당구 선릉0가,34.8825,128.62667,4,30000,3.54,153
91,주식회사 박김이 호텔,호텔,Pariatur inventore asperiores eos distinctio quasi. Architecto doloremque exercitationem odit atque. Aliquid repellat voluptate cumque velit hic.,부산광역시 도봉구 개포54로 (도현이전마을),36.6009,126.665,4,30000,4.37,35
191,유한회사 박 호텔,모텔,Voluptates enim cumque voluptas quisquam laudantium voluptates. Non repellat neque repellat explicabo voluptates ad. Quae amet architecto ut ex. Libero quia consequuntur consequuntur minima ex.,충청남도 가평군 백제고분504거리,36.6009,126.665,4,30000,2.27,187
53,유한회사 윤 아파트,펜션,"Architecto dolore voluptate quidem. Adipisci modi delectus cupiditate.
Earum architecto iusto veritatis. Esse amet accusantium.",울산광역시 노원구 선릉9길 (옥순서마을),34.8825,128.62667,4,30000,1.89,382
124,(주) 박 호텔,모텔,Beatae itaque alias totam maiores animi atque laboriosam. Sint at voluptatum recusandae exercitationem. Reprehenderit doloribus cumque harum rem placeat.,전라남도 안양시 만안구 반포대08가 (민지이리),36.82167,128.63083,4,30000,4.44,196
137,유한회사 박 아파트,모텔,Sed dolor repudiandae culpa eum corporis. Eius distinctio ullam reprehenderit ut cupiditate.,경기도 고양시 서초대거리 (민재문김마을),37.1759,128.9889,4,30000,2.38,119
164,(주) 이 펜션,아파트,"At et in quaerat.
Nulla temporibus laborum excepturi non beatae inventore. Nisi repellat dolorem illo.
Consequatur dignissimos veniam. Totam nesciunt in beatae accusamus aperiam quisquam.",충청남도 원주시 도산대거리,36.20389,127.08472,4,30000,1.2,250
36,(주) 서강문 아파트,펜션,Eligendi illum fugiat ducimus eos. Enim distinctio eos. Recusandae asperiores corrupti labore debitis.,인천광역시 중구 잠실길,36.82167,128.63083,4,30000,2.29,195
196,홍송 펜션,모텔,Asperiores error sed nisi veniam. Ea molestiae quia doloremque. Temporibus beatae magnam aliquid autem architecto architecto.,경상남도 춘천시 언주거리 (현지김김마을),34.8825,128.62667,4,30000,1.14,363
79,박이 펜션,모텔,"Quo aliquid illum temporibus. Dolore ea sint officia suscipit aut. Facere ipsam officiis at maxime mollitia vero.
Voluptate a quisquam vel illum atque. Esse minus est.",대구광역시 관악구 도산대01가,36.20389,127.08472,4,30000,1.29,414
19,김김이 아파트,모텔,"Numquam fugiat quod voluptates. Dolorum unde doloremque aut.
Incidunt nulla rem repellat maxime labore sed. Eligendi voluptate quo. Doloremque aspernatur molestias perspiciatis.",강원도 원주시 논현길,34.8825,128.62667,4,30000,4.51,201
120,이김 펜션,모텔,"Vero omnis tenetur in. Asperiores facilis aliquid eveniet. Harum consequuntur dolorem nulla non quia.
Fugit repudiandae nulla sequi omnis explicabo. Impedit aspernatur repudiandae.",서울특별시 동작구 삼성4가,37.65639,126.835,4,30000,3.39,41
57,박민 호텔,아파트,Quae debitis iusto labore veritatis quod. Ipsa similique voluptates. Necessitatibus aut eligendi esse voluptate placeat quia.,전라남도 괴산군 영동대거리 (윤서장마을),34.8825,128.62667,4,30000,2.21,359
45,한이박 펜션,호텔,Laborum officia voluptates iure enim nulla id facilis. Libero ullam quam alias dolorem adipisci. Omnis aperiam quaerat ab quasi ullam temporibus.,울산광역시 용산구 백제고분81가 (동현서리),36.6009,126.665,4,30000,1.21,488
120,안강김 아파트,모텔,Cupiditate vel magnam modi. Earum aliquid incidunt non quam sequi magni. Incidunt sapiente nulla voluptate perferendis eius.,경상북도 동두천시 학동5로 (민준김동),36.82167,128.63083,4,30000,3.26,169
26,(주) 이이이 아파트,펜션,Autem sed dolore sunt ea provident eveniet. Cum sequi illum libero repellat.,부산광역시 도봉구 석촌호수92가 (수진김김읍),36.6009,126.665,4,30000,1.33,278
161,김홍장 모텔,모텔,Facere fugit maiores vero rerum recusandae ullam. Maiores fugiat ipsum tempore.,대전광역시 영등포구 삼성354가 (경숙박김면),36.20389,127.08472,4,30000,1.72,94
48,김최김 호텔,아파트,Deleniti quasi distinctio. Praesentium impedit reiciendis sunt odit autem consectetur.,서울특별시 중구 개포808길 (정식강동),36.20389,127.08472,4,30000,4.69,369
39,(주) 엄양배 펜션,호텔,Dicta libero provident assumenda officiis totam odit. Expedita neque officiis assumenda minima est laudantium soluta. Quis accusantium ab et vero explicabo numquam.,전라북도 수원시 삼성길 (지훈조동),37.65639,126.835,4,30000,3.74,136
29,강안류 펜션,펜션,"Possimus numquam amet minima. Repudiandae ipsam facere omnis.
Autem dicta nobis laborum numquam ducimus recusandae. Hic delectus minus consequatur aspernatur.",강원도 용인시 강남대로 (순옥박리),36.82167,128.63083,4,30000,3.64,115
77,윤서 아파트,아파트,"Atque aspernatur minus itaque exercitationem omnis sapiente deserunt.
Animi sapiente dolorum esse iure. Exercitationem tempora sequi veniam ab tempora accusantium vitae.",전라북도 구리시 오금길 (영희오마을),36.82167,128.63083,4,30000,1.75,388
144,주식회사 홍 모텔,펜션,"Blanditiis quasi debitis aliquam fugiat cumque cum. Nemo nam dolores sapiente.
Ex omnis dolor eaque sit beatae sint quaerat. Praesentium fugit quae beatae.",경상남도 양양군 학동228길,36.20389,127.08472,4,30000,3.15,317
134,곽신김 아파트,펜션,Fuga corporis vel repellendus voluptatem molestiae. Deleniti rerum porro doloribus sapiente. Quam praesentium fuga necessitatibus.,충청남도 청주시 서원구 백제고분8로 (유진구리),36.20389,127.08472,4,30000,4.19,50
